Başlık,Şikayet
Teslimatı Geciken Klima Yüzünden Mağdur Olduk,"Hepsiburada'dan aldığım klima 10 gündür elime ulaşmadı. Teslimat tarihini de geçti. Temmuzun sıcağında bebeğimle birlikte hasta olduk. Bu ne sorumsuzluktur. Merkezden ilçeye 45 dakikalık yolu 1,5 günde getiremediler. Yetkili kim varsa ulaşmaya çalıştım fakat sadece bildirim yaptıklarını söylediler. Sürekli olarak 'Çabuk getirecekler' deyip duruyorlar."
Satın Aldığım Yeni Telefonun Ekran Sorunu Ve İade Sürecinde Yaşanan Mağduriyet,"07 Temmuz 2025 tarihinde satıcısı Hepsiburada olmak üzere Xiaomi Redmi Note 14 8GB 128GB (Xiaomi Türkiye Garantili) telefon aldım. Telefon bir gün sonra elime ulaştı. Kutusunu ilk kez ben açtım ve düğmesine bastım. Kargo kutusunda, kendi kutusunda veya telefonda herhangi bir darbe izi olmamasına rağmen ekranında bir sorun vardı. Durumu fotoğraf çekerek belgeledim ve iade için Hepsiburada'ya başvurdum. Bugün mesaj geldi ve iade şartlarını yerine getirmediğim için iademin onaylanmadığı bildirildi. Hepsiburada geçmişime bakarsanız çok sayıda alışveriş yaptığımı ve daha önce bir sorun yaşanmadığını görebilirsiniz. İnsanlara biraz güvenmeniz gerektiğini düşünüyorum; herkes sizi yanıltmaya çalışmıyor. Bu tür durumlar yaşanabiliyor maalesef. Eğer sorun benden kaynaklı olsaydı, fotoğraf çekip size göndermek yerine kutusuna koyup sessizce iade etmeye çalışırdım. Ürünü geri gönderirken olmuş der ve bende bir şey yoktu diyebilirdim. Sorun değil, ben 10 bin lira kaybederim, siz ise güveninizi. İlgili kişiden talebimdir; telefonu geri göndermeyin lütfen, sizde kalsın. Belki yüzünüz ekran gibi kızarır."
İndirim Sonrası Fiyat Farkı İçin İade Yapmak İstemiyorum,Hepsiburada'dan aldığım ürün aldıktan 3 gün sonra indirime girdi. Aldığım ürünü tekrar göndermek zorunda kalacağım. Fakat bu durum çözülebilir diye düşünüyorum. Aradaki farkın tarafıma iade edilmesini istiyorum. Lütfen geri iadeye gerek kalmadan çözer misiniz?
Sipariş İptali Ve Kargo Bilgilendirme Sorunu,62253615470531 numaralı siparişimi iptal etmek istiyorum. Kargo gelince teslim almazsam iptal olacağı söyleniyor. Ancak Ceva Kargo firması ürünü günlerdir teslim etmiyor. Kargo firmasının kendi sitesinde bile kargo hakkında bir bilgi bulunmuyor. Hepsiburada'dan alışveriş yaptığım için pişmanlık yaşıyorum.
Philips Kahve Makinesi Cam Demliği Yedek Parça Fiyatı Çok Yüksek,"Merhabalar, ürünü 9 Mayıs'ta Hepsiburada'dan aldım. İki ay oldu ama cam demliğim kırıldı. Philips HD7459/20 Daily Collection modelinin cam demliğini almak istiyorum fakat neredeyse bir makine fiyatına denk geliyor. Yedek parçası çok pahalı, lütfen bu konuda yardımcı olun. Makineyi kullanamıyorum. Bu kadar pahalı olduğunu bilseydim almazdım."
Bilgim Dışında Tahsil Edilen Premium Üyelik Ücretlerinin İadesini Talep Ediyorum,"Sayın Yetkili,"
Taksitli Alımda Tek Çekim Sorunu Ve Mağduriyet,"Hepsiburada'dan sitesinden Airfel klima aldım,9 taksit diye aldım oysaki bankaya tek çekim iletilmiş, kaç gündür talebimi bile kale almıyorlar. Ben nakit alacak olsam niye Hepsiburada dan alayım?
İade zamanını geçirmek istiyorlar ki geçti. Cevap alamadığım için, kiramı ödeyemeyeceğim şimdi, şikayetim var çok mağdurum. Mağduriyetimin 18 temmuzdan önce giderilmesini istiyorum"
Para Çekildi Ama Siparişim Görünmüyor Ne Olacak,"Merhaba bugün anında havale ile iki ürün aldım, havaleyi gerçekleştirdim ama sayfamda siparişlerim kısmında gözükmüyor. İnternet bankacılığımda sipariş numaram 4880946636 Para çekilmiş lakin sayfada siparişlerim kısmında sipariş gözükmüyor. İptali olur mu"
Erken Ödeme Talebim Olmadan Yapılan İşlemler Ve Ödenmeyen Tutarlar İçin Acil Çözüm Bekliyorum,"Sayın Yetkili,"
"Hepsiburada'da Siparişlerim Zamanında Gönderilmedi, Eski Güven Kalmadı","Hepsiburada sitesinin Keyfi davranan satıcıları ve bu satıcılara müdahale etmeyen Hepsiburada sitesi.
13 Temmuz 2005 tarihinde, Hepsiburada sitesinden, 5 ayrı sipariş verdim. Siparişlerim hazırda bulunan ve her an kargo yapılmaya uygun siparişlerdi. Bu siparişlerimin sadece 2 tanesi 14 Temmuz da kargo yapıldı. Diğerleri yapılmadı. Bu ilgisizlik ve bu sorumsuzluk sadece, Hepsiburada sitesinin, satıcılarına müdahale etmemesinden kaynaklanıyor. Hepsiburada sitesinin eski kalitesi ve güvenirliği artık kalmamıştır."
Hepsiburada Premium Üyeliğinde Sürekli Ödeme Ekranı Sorunu,"Hepsiburada.
Uygulamasında ödeme kısmına gelince ekran donuyor hiçbir şekilde bir işlem yapılıyor ve üstelik Premium üyesiyim şikayet oluşturdum ama hala dönüş sağlanmadı! Aynı sorunu daha önce de yaşamıştım aynı gün sorun çözülmüştü. Üstünden çok geçmeden yine aynı sorun"
"Satın Aldığım Razer Gold Pin Kodu Gönderilmedi, Mağdur Oldum","12 Temmuz 2025'te Hepsiburada'dan Razer Gold pin satın aldım, ancak kodum elime ulaşmadı. Müşteri temsilcilerini aramaktan yoruldum, hâlâ bir sonuç alamadım. Lütfen bu konuyla ilgilenir misiniz? Kodu göndermenizi rica ediyorum. Göndermemeniz durumunda ilgili mercilere başvuracağım, bilginize."
Siparişim Defalarca Yanlış Kargo Nedeniyle Teslim Edilmiyor,"Aynı ürünü dördüncü kez sipariş verdim ama her seferinde kargo teslim etmek yerine ürünü tekrar Hepsiburada'ya iade ediyor. Nedenini sorduğumda, Hepsiburada siparişi Hepsijet XL'ye vermesi gerekirken Hepsijet'e vermiş. Hepsiburada siparişimi Hepsijet XL'ye vermeme rağmen, Hepsijet ise siparişimi teslim etmeyip iade etmekte kararlı. Bakalım bu işin sonunda kazanan kim olacak."
Roborock Süpürge Arızası Sonrası Değişim Talebim Reddedildi,"Hepsiburada satıcısından Roborock Qrevo Curv modeli robot süpürgeyi 15 Ocak 2025 tarihinde aldım. Daha 6 ay olmadan şarj olmasında hatalar vermeye başladı ve çarpma ayarlarını yaptığım halde her tarafa çok çarpıyor, bu nedenle çizikler oluşuyordu. Bu sorunları belirterek servise gönderdim ve ürünün 6. ayı dolmadan sorun çıkardığı için ayıplı ürün kanununa girdiğini, yenisiyle değişimini istediğimi belirttim. Fakat dikkate almadılar ve onarımını yapıp geri göndermişler. Böyle bir hakkımın olup olmadığına servisin karar verdiğini söylediler. Kanuni haklarımı kullanamayacaksam neden bu ürüne 68 bin lira vereyim? Ürünün ayıplı kabul edilip geri iadesini ve tarafıma ücretinin geri ödenmesini kanunen talep ediyorum."
Aldığım Saç Düzleştirici Aşırı Isınıyor Ve İşlevini Yerine Getirmiyor,"Hepsiburada sitesinden 4583588358 numaralı Remington markalı bir düzleştirici sipariş verdim. Modeli S5525 Pro - Seramik Geniş Plaka Extra Saç Düzleştiricisi. 2.116,00 TL'ye aldım fakat ürün saç düzleştirirken çok ısınıyor ve saçımı düzleştiremiyorum. Bu sorun sadece bende mi var, yoksa üründe genel bir problem mi? Eğer sorun üründeyse çok kötü, çünkü saçımı düzleştiremiyorum. Ürün değişimi mümkün müdür?"
Hepsiburada'da Fiyat Farkı İçin Premium Ayrımcılığına Maruz Kaldım,Hepsiburada dan aldığım elbise bana teslim edildikten sonraki gün fiyatı yarı yarıya indi. Bu fiyat farkının karşılanması için talepte bulundum ancak Premium üyesi olmadığım için yardımcı olamayacaklarını üye olsaydım farkı kupon olarak tanımlayabileceklerini söyledi. Müşteri hizmetleri. Böyle saçma bir ayrımcılık böylesine büyük firmanın yapabileceğini aklım almıyor. Bende bu sitenin müşterisiyim ve dışlanmış gibi yardımcı olunmadı bana. Bugün itibariyle Premium üyesi olup tekrar talepte bulundum. Ve müşteri hizmetleri daha önce Premium üyesi olsaydım yardımcı olacağını söyledi ama öncesi ve sonrası gibi saçmalık olamaz. Ben artık Premium üyeyim ve böyle ayrıcalığım varsa bugünde olsa bu sorunu çözmeliler. Hiçbir yetkili de beni arayıp sorunumu çözmedi. Buraya ve gerekli tüm yerlere Tüketici Hakları'na kadar şikayet talebinde bulunacağım.
Kasıtlı Olarak Gönderilmeyen Ürün Ve Mağduriyet,"Hepsiburada'da Ebebek isimli satıcıdan, bebeğim için indirimde aldığım öğrenme kulesi, kargoya verilmesine rağmen kasıtlı bir şekilde tarafıma ulaştırılmadı. Yaklaşık iki hafta boyunca kargoda bekletilip siparişim iptal edildi. Sonrasında ise ürünün fiyatı iki katından da fazla arttı. Hem param uzun süre el konularak mağdur edildim hem de ürünüm gönderilmedi."
Hasarlı Toshiba TV Ve Premium Müşteriye Değer Verilmemesi,"Hepsiburada mağazasından almış olduğum 65"" Toshiba TV, kutusunda herhangi bir darbe ve deformasyon olmamasına rağmen kutusundan hasarlı çıktı. Bu nedenle ivedilikle değişim istiyorum. Bunun yanı sıra, 13/07/2025 tarihinde saat 14:51'de yaşadığım durumla ilgili olarak, isminin K**** olduğunu söyleyen temsilcinizle görüştüm ve konu hakkında şikayet oluşturmak istedim. Temsilci, ""İnanın konu ile alakalı çok üzüldük, kusura bakmayın, her şeyden önce tüketici olarak bakıyoruz olaylara, çok özür dileriz"" gibi ifadeler kullandı. Ancak şikayetimin göz ardı edildiğini ve üzülerek söylüyorum, tüketici olarak saf yerine konulduğumu hissettim. Alışveriş yaparken premium müşteri olmak bu mu demek? Sözde avantaj elde edeceğimize, sistemin ve Hepsiburada'nın premium müşterisini saf yerine koymayı hedeflediğini düşünüyorum. Yazık, gerçekten yazık."
Sipariş İptali Sonrası Alışverişe Engel Konulması Ve Müşteri Hizmetleri Yaklaşımı,"14 Temmuz 2025 tarihinde yüzücü gözlüğü siparişi vermek istedim, ancak ref001 hatası aldım. Bunun üzerine müşteri hizmetlerini aradım. Müşteri temsilcisi, sipariş iptali yaptığımı ve hesabımdan bir daha alışveriş yapamayacağımı söyledi. Sadece bir sipariş iptalim ve bir de yanlış gelen ürün iadem vardı. Hesabımın kapatılmasıyla ilgili açıklama alamadım. Hesabım açılmazsa alışveriş ilişkimi sonlandıracağım."
"Şikayetim Yayınlanmadı, Cevap Bekliyorum",9 Temmuz 2025 tarihinde Hepsiburada firması hakkında yapmış olduğum şikayete hala dönüş olmadı. Şikayet var bu konu hakkında yapmış olduğum şikayeti yayınlanmadı. Eğer bu konu hakkında yapmış olduğumuz şikayet önemsiz gibi görülüyorsa bundan sonra şikayet yazmayım.
Kısa Sürede Deforme Olan Ayakkabı Ve Onarım Talebine Ret,Hepsiburada üzerinden Hepsiburada satıcılı olarak 21.06.2025 tarihinde aldığım merrell marka ayakkabı 4-5 defa işe giderken giydiğim (dağa bayıra vurmadım ayakkabı) ayakkabı beyaz çorapla giydiğimde bu manzarayla karşılaştım. Üst kumaş kısmında deformeler oluşmuş. Hepsiburada 3 defa onarım isteğime red verdi.
Teslim Edilmeyen Ürünün Teslim Edilmiş Gibi Gösterilmesi Ve Yetersiz Müşteri Desteği,"Ürün teslim edilmediği halde, teslim edilmiş olarak gösteriliyor. Hepsiburada hâlâ geri dönüş yapmadı. Ne araştırdıklarını bilmiyorum ama bu kadar uzun süre geri dönüş yapılmaması normal değil. Firmanın faturayı gönderip ürünü göndermemesi de normal değil. Bu yeni bir moda mı acaba?"
Satıcı İptal Baskısı Ve Hepsiburada'nın Yetersiz Destek Nedeniyle 25.000 TL Mağduriyeti,"Hepsiburada üzerinden 401 179 769 4 numaralı siparişimi 105 Bin tl ödeyerek aldım. Ben ürünü aldıktan 1 gün sonra ürün fiyatı 130 bin tl oldu. Hemen sonrasında satıcı firma beni arayarak siparişi iptal etmemi söyledi, bende böyle bir şeyin mümkün olamayacağını söyledim. Sonrasında firma hiçbir şekilde ürünün gönderimini sağlamadı. Normalde böyle durumlarda, en yakın rakama satan satıcıdan ürün gönderilir ve aradaki fark satışı yapıp göndermeyen firmaya kesilmesi gerekir. Sipariş verirken okumadan onayladığınız satış sözleşmesinde madde olarak geçmektedir. Bu nedenle Hepsiburada'da satıcı transferi için talep oluşturdum. Hepsiburada temsilcisi Ö**** hanım tarafımı arayıp, firma sahibine ulaşamadıklarını bildirdi ve bu nedenle herhangi bir işlem yapamayacağını belirtti. Oysa ki beni aradıkları numaradan firma ile iletişime geçtim, gayette cevap verdiler ve bekleyin dediler. Burada büyük bir mağduriyet var, siparişi iptal edip cebimden neden 25000 TL ekstra para çıkarmam gerekiyor. Ne firma yetkilisi ne Hepsiburada temsilcisi, yasal hakkım olan satıcı transferi konusunda ortak aynı cevabı verdiler. ""siparişi iptal edin! ""
Konu ile yetkili birimin tarafımla iletişime geçmesini rica ediyorum. Yoksa haklarımı yasal süreçte arayacağım..."
Her Siparişimde Defolu Ürün Gönderilmesi Alışverişten Soğuttu,"Her defasında bu sefer olmaz deyip sipariş veriyorum. De facto satıcısından gömlek sipariş verdim ve ürünüm defolu gönderildi. Her siparişim defolu gelmeye başladı. Bu sefer de gömleğin yaka kısmı yanlış dikilmiş, katlı duruyor. Duz değil. Defolu ürünleri niye müşteriye gönderiyorsunuz. Hayır ucuza da satmıyorsunuz normal fiyattan satıyorsunuz defolu olduğunu belirtmiyorsunuz. Yeni aldığım parasını tam verdiğim bir urunu neden defolu giyeyim. Hiç yakışmadı. Size gerçekten her defasında aynı sorun bir daha alışveriş yapmayacağım. Artık kasıtlı böyle gönderildiğinden şüpheleniyorum."
Kargo Karışıklığı Sonrası Kayıp Ürün Ve İade Sorunu: 14 Gündür Çözüm Sağlanmadı,"Hepsiburada sitesi üzerinden Hepsiburada satıcısından aldığım Philips Lumea ıpl ürünümün 2. Kullanımda atış yapmaması nedeniyle müşteri hizmetlerine bu sorunu yazdım. Hepsiburada müşteri hizmetlerince telefonla aranarak Prime müşteri olduğum için ürünümün firmaya geri kargolanmasını, incelendikten sonra yenisinin gönderilebileceği belirtildi. Yine Hepsiburada sitesinden Marks&Spencer satıcısından aldığım çorap iadesi ile aynı gün Hepsijet firması tarafından kargolarım alındı. Fakat 4846533168 numaralı sipariş içerisindeki çorap (599,95 TL) ile 4010207285 numaralı siparişe ait Philips ıpl ürün (14659 TL) iadeleri, Hepsijet kargo çalışanı tarafından çapraz etiket basılması nedeniyle karıştırılmış olup her iki ürünün de tarafıma geri gönderildiği sistemde görünmektedir.
Philips ürün sipariş kaydında görünen Aras Kargo 5641*****5304 numaralı kargonun içerisinden çorap çıktı. 8/7/2025 9:10 da Hepsijet firması tarafından arandım, kargoda problem olduğu, geri ödemenin yapılacağı söylendi. 8/7/25 16:47 de Hepsiburada müşteri hizmetlerince de 14659 TL nin tarafıma yatırılacağı söylendi.
Hepsijet 62753604384543 kargo takip numaralı kargonun içerisinde 14659 TL değerindeki Philips ıpl ürünün mevcut olduğu, Hepsiburada 712936777 numaralı talepteki fotoğrafta görünmektedir. Bu kargo 1/7/25 te kargoya verilmiş, 2/7/25 itibari ile transfer sürecine girmiş ve ardından kargo hareketlerinde ilerleme olmamıştır. 4/7/2025 itibari ile defalarca Hepsiburada ve Hepsijet müşteri hizmetleri ile iletişime geçmeme rağmen tam 14 gündür kargoda çalıntı? Kayıp? Durumdaki kargom bulunamadı ve para iadesi tarafıma yatırılmadı. Bugün ise çorap bedeli olan 599 TL tarafıma yatırıldı.
Kişisel hijyenik kullanıma uygun olan ürünün bedeli olan 14659 TL’nin ivedilikle tarafıma iletilmesini talep ediyorum."
Sipariş Oluşmadı Param Geri Dönmedi Kızımın Doğum Günü Mahvoldu,"Hepsiburada firmasından ürün sipariş etmek için havale yoluyla ödeme yaptım. Siparişim oluşmadı fakat ödemeyi aldılar. Müşteri temsilcisiyle görüştüm, sistemsel bir problem olduğunu ve kendileriyle alakalı olmadığını, 48 saat içerisinde ödemenin iade edileceğini söylediler. Madem sisteminizde problem var, ya düzeltin ya da kapatın. Benim gibi yüzlerce, belki binlerce insanın aynı şekilde ödeme yaptığını düşünürsek çok ciddi bir problem var demektir. Kızımın doğum günü için hoverboard istemiştim ve bu para gerçekten son paramdı. 48 saat bekletirseniz ben 10 yaşındaki kızıma ne derim?"
"Aldığım Dyson Ürün Sahte Çıktı, İade Sürecine Güvenemiyorum",Hepsiburada'dan Dyson airstrait aldım. Aldığım satıcı ben ürünü aldıktan sonra kapandı. Müşteri hizmetlerini aradığımda Hepsiburada'nın asla çakma ürün satmayacağını anlatarak beni ikna etti ve ürünü iade etmeyerek gelmesini bekledim. Ürün elime geldiğinde tamamen çakma olduğu anlaşılıyordu. Şuan iade sürecinde asla güvenmiyorum umarım paramı geri alabilirim.
Hepsiburada'dan Aldığım Semaver Kömürlü Çıktı İade Edemiyorum,hepsiburada.com'dan semaver aldım gelen ürün Kömürlü ürünmüş. Ben kömürlü olduğunu bilmiyordum. Satıcı da yazmamıştı. Şimdi ben ürünü iade etmek istiyorum. Ben tatilde olduğum için ürünü yeni alma fırsatım oldu. Bilseydim bu şekilde ürün almazdım. Benim param çöpe gitti şu anda ürün de iade edemiyorum. Lütfen paramı iade edin. Ürünü göndermek istiyorum.
"Hepsiburada Yeni Alınan Halı Yıkama Makinesi Arızalı Çıktı, Hayal Kırıklığı Yaşadım","Hepsiburada.com'dan 8 Temmuz 2025'te 465 744 243 6 sipariş numaralı Karcher se 3 Compact Floor halı koltuk yıkama makinesi aldım. 11 Temmuz 2025'te teslim edildi. Bugün (14 Temmuz) deneme fırsatı buldum. Makine arızalı; çalıştırınca ne süpürme ne yıkama yapıyor, sesi boğuklaşıyor, sanki sistemini kilitliyor, sadece ses çıkıyor."
